Name	Pylons	BOT Marines	TOP Marines	BOT Banelings	TOP Banelings	BOT Immortals	TOP Immortals
dp1_level1_state	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dp1_level1_action_max_0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
dp1_level1_action_max_1(best)	0.0	0.0	0.0	1.0	0.0	0.0	0.0
dp1_level1_action_min_10	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dp1_level1_action_min_11	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dp1_level1_action_min_12(best)	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dp2_level2_state_120(best)	0.0	0.0	0.0	1.0	0.0	0.0	0.0
dp2_level2_action_max_1200(best)	0.0	1.0	0.0	1.0	0.0	0.0	0.0
dp2_level2_action_min_12000	0.0	0.0	0.0	1.0	0.0	0.0	0.0
dp2_level2_action_min_12001	0.0	0.0	0.0	1.0	0.0	0.0	0.0
dp2_level2_action_min_12002	0.0	0.0	0.0	1.0	0.0	0.0	0.0
dp2_level2_action_min_12003(best)	0.0	0.0	0.0	1.0	0.0	0.0	0.0
dp2_level2_state_120030(best)	0.0	1.0	0.0	1.0	0.0	0.0	0.0
dp2_level2_action_max_1201	0.0	0.0	1.0	1.0	0.0	0.0	0.0
dp2_level2_action_max_1202	0.0	2.0	0.0	1.0	0.0	0.0	0.0
dp2_level2_action_max_1203	0.0	0.0	0.0	1.0	0.0	0.0	0.0
dp1_level1_action_min_13	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dp1_level1_action_max_2	0.0	1.0	0.0	1.0	0.0	0.0	0.0
dp1_level1_action_max_3	0.0	0.0	0.0	0.0	2.0	0.0	0.0
